"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"X2",8,0.0497882352941176,0.0766180823529412,0.0260839924258687,161,-1.02859434325763,0.160839160839161,1000,1.02859434325763
"X3",7,0.146235294117647,0.0891070970588235,0.0344089581148224,946,1.66027105116601,0.945054945054945,1000,-1.66027105116601
"X4",5,0.0640235294117647,0.126735529411765,0.0682281315069446,186,-0.919151655114824,0.185814185814186,1000,0.919151655114824
"X5",10,0.0721529411764706,0.0633672264705882,0.0130173102142598,733,0.674925507748757,0.732267732267732,1000,-0.674925507748757
