"","r.mantel.pearson","p.mantel.pearson","r.mantel.kendall","p.mantel.kendall","r.mantel.spearman","p.mantel.spearman"
"pH",0.43243958454717,0.5,-0.0666666666666667,0.583333333333333,-0.0857142857142857,0.541666666666667
"temp",0.135437602155868,0.333333333333333,0.333333333333333,0.25,0.485714285714286,0.166666666666667
"DO",0.0989554367387486,0.416666666666667,-0.0666666666666667,0.791666666666667,0.0285714285714286,0.5
"All",0.153382824928115,0.333333333333333,0.2,0.375,0.257142857142857,0.291666666666667
