"","r.mantel.pearson","p.mantel.pearson","r.mantel.kendall","p.mantel.kendall","r.mantel.spearman","p.mantel.spearman"
"pH",-0.357035326512499,0.625,-0.466666666666667,1,-0.542857142857143,0.916666666666667
"temp",0.659111695549174,0.125,0.466666666666667,0.25,0.6,0.166666666666667
"DO",-0.466346474211462,0.958333333333333,-0.466666666666667,1,-0.6,1
"All",0.429214787968711,0.208333333333333,0.333333333333333,0.25,0.371428571428571,0.25
