"","r.mantel.pearson","p.mantel.pearson","r.mantel.kendall","p.mantel.kendall","r.mantel.spearman","p.mantel.spearman"
"pH",0.0489553860526571,0.333333333333333,-0.333333333333333,0.958333333333333,-0.371428571428571,0.791666666666667
"temp",0.393329246891658,0.25,0.333333333333333,0.25,0.428571428571429,0.25
"DO",-0.407571161953687,0.916666666666667,-0.6,1,-0.657142857142857,0.958333333333333
"All",0.232512394032628,0.291666666666667,0.2,0.375,0.142857142857143,0.375
