"","DCA1","DCA2","DCA3","DCA4"
"OTU1",1.30419855107834,-0.619847940806665,0.515254677923195,0
"OTU2",-1.1685308113232,2.46684099941449,-1.70398624506822,0
"OTU3",-1.04942005020954,1.69506714767103,0.101849948510936,0
"OTU4",-1.23810649645683,0.461748986408664,-1.7039862450684,0
"OTU5",0.379848800151684,-0.632137412136698,-1.20609028512031,0
"OTU6",-1.1685308113232,2.46684099941449,-1.70398624506827,0
"OTU7",-0.964340935128342,1.14364723187016,1.11410589131997,0
"OTU8",-1.1685308113232,2.46684099941449,-1.70398624506818,0
"OTU9",-0.311376363310839,0.74282728189692,0.51525467792351,0
"OTU10",1.59002185738755,1.08057599224185,-0.58372033518546,0
"OTU11",-0.811198527982199,-0.191901683899021,2.72047286420504,0
"OTU12",1.08501236489378,-0.150404576056353,1.75939860692286,0
"OTU13",-1.04942005020954,1.69506714767103,0.101849948510936,0
"OTU14",2.50705084666832,-0.0828397558114304,0.101849948510065,0
"OTU15",-1.15764889375072,-1.68204023296153,0.101849948510396,0
"OTU16",2.50705084666833,-0.0828397558114307,0.101849948510065,0
