"","shannon","simpson","invsimpson","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","S.obs.before.resamp","S.chao1.before.resamp","se.chao1.before.resamp","S.ACE.before.resamp","se.ACE.before.resamp"
"X2",1.85517923812844,0.814878892733564,5.4018691588785,8,8,0.155902391115581,8.57450538442274,0.739997202111883,16,16,0,NA,NA
"X3",1.64809699451719,0.757785467128028,4.12857142857143,7,7,0.154303349962092,7.38285464353404,1.04146695926954,16,16,0,16,0.968245836551854
"X4",1.08561042070116,0.57439446366782,2.34959349593496,5,6,2.19848432637882,8,1.51228234781643,16,16,0,16,1.3228756555323
"X5",2.28237437615925,0.896193771626298,9.63333333333333,10,10,0,10,NA,16,16,0,16,0.968245836551854
