"","r.pearson","p.pearson","r.kendall","p.kendall","r.spearman","p.spearman"
"pH",-0.967061833295297,0.0329381667047031,-1,0.0833333333333333,-1,0.0833333333333333
"temp",0.235966273965635,0.764033726034365,0,1,0,1
"DO",0.851138044083244,0.148861955916756,0.666666666666667,0.333333333333333,0.8,0.333333333333333
