"","DCA1","DCA2","DCA3","DCA4"
"OTU1",-0.642833847949739,-0.760723266649494,-0.760723266649501,-0.760723266649501
"OTU2",-2.84374425231933,0.363595714930929,0.363595714930927,0.363595714930927
"OTU3",0.337013203285994,1.19817240697145,1.19817240697145,1.19817240697145
"OTU4",-1.07596668605082,-1.17137550789456,-1.17137550789456,-1.17137550789456
"OTU5",0.45768246426914,1.16513053255823,1.16513053255822,1.16513053255822
"OTU6",0.0396947524063045,-0.136512132523804,-0.136512132523807,-0.136512132523806
"OTU7",-0.772527686931583,-0.147920435005161,-0.147920435005163,-0.147920435005162
"OTU8",0.125678394601455,0.172996230361211,0.172996230361215,0.172996230361214
"OTU9",-1.33686105212785,-0.0848029050524815,-0.0848029050524813,-0.0848029050524817
"OTU10",0.0334557665466704,1.73895831955714,1.73895831955713,1.73895831955713
"OTU11",0.790447144282833,0.421881811857963,0.421881811857964,0.421881811857964
"OTU12",-0.949724408138411,-1.67792145359249,-1.67792145359248,-1.67792145359248
"OTU13",0.465233373315813,1.34215088031915,1.34215088031915,1.34215088031915
"OTU14",0.979003832867286,0.946519841156979,0.946519841156982,0.946519841156982
"OTU15",-0.941601992096088,-0.90952017863247,-0.909520178632476,-0.909520178632475
"OTU16",1.54832400783047,-1.10738200230428,-1.10738200230428,-1.10738200230428
