"","shannon","simpson","invsimpson","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","S.obs.before.resamp","S.chao1.before.resamp","se.chao1.before.resamp","S.ACE.before.resamp","se.ACE.before.resamp"
"X1",2.51573270622144,0.91279515461354,11.4672527147817,15,15,0,15,1.31656117720877,15,15,0,15,1.31656117720877
"X2",2.67657555089026,0.927348836130648,13.7644044051145,16,16,0,NA,NA,16,16,0,NA,NA
"X3",2.49800198497165,0.889472673839577,9.0475363400049,16,16,0,16,0.968245836551854,16,16,0,16,0.968245836551854
"X4",2.29743075121751,0.841673312624571,6.31605458673415,16,16,0,16,1.3228756555323,16,16,0,16,1.3228756555323
"X5",2.61116526236589,0.918443467270321,12.2614334686656,16,16,0,16,0.968245836551854,16,16,0,16,0.968245836551854
