"","r.mantel.pearson","p.mantel.pearson","r.mantel.kendall","p.mantel.kendall","r.mantel.spearman","p.mantel.spearman"
"pH",0.428059600598516,0.375,-0.0666666666666667,0.625,-0.0857142857142857,0.5
"temp",-0.0664943801420353,0.541666666666667,0.333333333333333,0.333333333333333,0.485714285714286,0.208333333333333
"DO",-0.242604178961681,0.791666666666667,-0.0666666666666667,0.75,-0.0285714285714286,0.5
"All",-0.120259097513195,0.583333333333333,0.2,0.375,0.314285714285714,0.333333333333333
